Frequency (Hz),Amplitude
0.0,1.3501379244537395
0.019867549668874173,1.3502770047192734
0.039735099337748346,1.3506935844909167
0.059602649006622516,1.3513856851067558
0.07947019867549669,1.352350023449242
0.09933774834437085,1.353582033723593
0.11920529801324503,1.3550758975524482
0.13907284768211922,1.356824582003968
0.15894039735099338,1.3588198850771227
0.17880794701986755,1.3610524880872044
0.1986754966887417,1.3635120143251902
0.2185430463576159,1.3661870933116893
0.23841059602649006,1.3690654299254363
0.2582781456953642,1.3721338776629988
0.27814569536423844,1.3753785152754248
0.2980132450331126,1.3787847260319421
0.31788079470198677,1.3823372788768222
0.33774834437086093,1.3860204107734877
0.3576158940397351,1.3898179095665897
0.3774834437086093,1.393713196738383
0.3973509933774834,1.3976894094863503
0.4172185430463576,1.401729481604717
0.4370860927152318,1.4058162227105064
0.45695364238410596,1.409932395413628
0.4768211920529801,1.4140607900897262
0.49668874172185434,1.4181842969713996
0.5165562913907285,1.4222859753284358
0.5364238410596026,1.4263491195591382
0.5562913907284769,1.4303573220619712
0.5761589403973509,1.4342945328006935
0.5960264900662252,1.4381451155137093
0.6158940397350993,1.4418939005532556
0.6357615894039735,1.4455262343680755
0.6556291390728477,1.4490280256689223
0.6754966887417219,1.4523857883352176
0.695364238410596,1.4555866811382103
0.7152317880794702,1.4586185443671842
0.7350993377483444,1.4614699334548304
0.7549668874172186,1.4641301497024861
0.7748344370860927,1.4665892682092228
0.7947019867549668,1.4688381631083365
0.8145695364238411,1.4708685302133409
0.8344370860927152,1.4726729071707485
0.8543046357615894,1.4742446912121145
0.8741721854304636,1.4755781545904412
0.8940397350993378,1.476668457777835
0.9139072847682119,1.4775116604925949
0.9337748344370861,1.4781047306136366
0.9536423841059603,1.4784455510302588
0.9735099337748344,1.4785329244635987
0.9933774834437087,1.4783665762856601
1.0132450331125828,1.47794715534951
1.033112582781457,1.477276232833123
1.0529801324503312,1.4763562990875774
1.0728476821192052,1.4751907584681387
1.0927152317880795,1.4737839221161946
1.1125827814569538,1.4721409986477842
1.1324503311258278,1.4702680826944732
1.1523178807947019,1.4681721412313002
1.1721854304635762,1.4658609976175019
1.1920529801324504,1.463343313266065
1.2119205298013245,1.4606285668512156
1.2317880794701985,1.45772703095547
1.2516556291390728,1.4546497460535441
1.271523178807947,1.4514084917262082
1.2913907284768211,1.4480157549966024
1.3112582781456954,1.4444846956816733
1.3311258278145695,1.440829108655703
1.3509933774834437,1.4370633829291724
1.370860927152318,1.433202457456256
1.390728476821192,1.429261773598141
1.410596026490066,1.4252572241869386
1.4304635761589404,1.4212050991571272
1.4503311258278146,1.4171220277383851
1.4701986754966887,1.4130249172347404
1.4900662251655628,1.4089308884516178
1.5099337748344372,1.4048572078733572
1.5298013245033113,1.4008212167396659
1.5496688741721854,1.3968402572194083
1.5695364238410596,1.3929315959343442
1.5894039735099337,1.3891123451424219
1.609271523178808,1.3853993819495094
1.6291390728476822,1.3818092659790022
1.6490066225165563,1.3783581559890798
1.6688741721854303,1.375061725985877
1.6887417218543048,1.3719350814362545
1.7086092715231789,1.3689926762340374
1.728476821192053,1.3662482311168125
1.7483443708609272,1.363714654265178
1.7682119205298013,1.3614039648401368
1.7880794701986755,1.3593272202266267
1.8079470198675496,1.3574944477496025
1.8278145695364238,1.3559145816133302
1.847682119205298,1.3545954057836567
1.8675496688741722,1.353543503486692
1.8874172185430464,1.3527642139363738
1.9072847682119205,1.3522615968278826
1.9271523178807946,1.3520384050460417
1.9470198675496688,1.352096065938542
1.9668874172185429,1.352434671396478
1.9867549668874174,1.353052976870435
2.0066225165562916,1.3539484093337621
2.0264900662251657,1.3551170840871152
2.0463576158940397,1.3565538301838453
2.066225165562914,1.3582522241470074
2.086092715231788,1.360204631548066
2.1059602649006623,1.3624022559273243
2.1258278145695364,1.3648351944585873
2.1456953642384105,1.3674924996970268
2.165562913907285,1.370362246700326
2.185430463576159,1.3734316047796968
2.205298013245033,1.376686913118924
2.2251655629139075,1.3801137594956991
2.2450331125827816,1.3836970613491848
2.2649006622516556,1.3874211484597594
2.2847682119205297,1.3912698465395936
2.3046357615894038,1.3952265610744077
2.324503311258278,1.3992743608056264
2.3443708609271523,1.4033960602964424
2.364238410596027,1.407574301083297
2.384105960264901,1.411791630973774
2.403973509933775,1.4160305811125455
2.423841059602649,1.4202737404958297
2.443708609271523,1.424503827672656
2.463576158940397,1.4287037594248453
2.4834437086092715,1.4328567162687682
2.5033112582781456,1.4369462046678336
2.52317880794702,1.440956115886758
2.543046357615894,1.4448707814551245
2.562913907284768,1.4486750252405693
2.5827814569536423,1.4523542121584792
2.6026490066225163,1.4558942935686217
2.622516556291391,1.459281849426929
2.642384105960265,1.462504127275284
2.662251655629139,1.4655490781627971
2.6821192052980134,1.4684053895987186
2.7019867549668874,1.471062515641846
2.7218543046357615,1.4735107042321884
2.741721854304636,1.4757410218696654
2.76158940397351,1.4777453757415442
2.781456953642384,1.4795165333954257
2.801324503311258,1.4810481400479854
2.821192052980132,1.4823347336120274
2.8410596026490067,1.4833717575155052
2.8609271523178808,1.4841555713766044
2.8807947019867552,1.484683459588293
2.9006622516556293,1.4849536378550756
2.9205298013245033,1.4849652577129167
2.9403973509933774,1.4847184090519017
2.9602649006622515,1.4842141206486887
2.9801324503311255,1.4834543587043916
3.0,1.4824420233707503
3.0198675496688745,1.4811809432357796
3.0397350993377485,1.4796758677280197
3.0596026490066226,1.4779324573868857
3.0794701986754967,1.4759572719354868
3.0993377483443707,1.4737577560815305
3.119205298013245,1.4713422229619098
