Frequency (Hz),Amplitude
0.0,2.0647890337150505
0.019867549668874173,2.064163736557045
0.039735099337748346,2.062289149878194
0.059602649006622516,2.0591691904118417
0.07947019867549669,2.0548103938920397
0.09933774834437085,2.0492219268874354
0.11920529801324503,2.042415603500297
0.13907284768211922,2.034405907059829
0.15894039735099338,2.0252100169724803
0.17880794701986755,2.0148478409221875
0.1986754966887417,2.0033420526397023
0.2185430463576159,1.990718135480493
0.23841059602649006,1.9770044320635065
0.2582781456953642,1.9622322002255752
0.27814569536423844,1.946435675535682
0.2980132450331126,1.9296521405855698
0.31788079470198677,1.9119220012233724
0.33774834437086093,1.8932888698188897
0.3576158940397351,1.8737996555362142
0.3774834437086093,1.8535046614310344
0.3973509933774834,1.8324576879773626
0.4172185430463576,1.8107161423472287
0.4370860927152318,1.7883411524027795
0.45695364238410596,1.7653976838970942
0.4768211920529801,1.7419546587975154
0.49668874172185434,1.7180850719249507
0.5165562913907285,1.6938661022228607
0.5364238410596026,1.6693792139120283
0.5562913907284769,1.6447102415361776
0.5761589403973509,1.6199494514516228
0.5960264900662252,1.5951915706659012
0.6158940397350993,1.5705357721108058
0.6357615894039735,1.5460856034954271
0.6556291390728477,1.5219488449155778
0.6754966887417219,1.498237278534891
0.695364238410596,1.4750663520972938
0.7152317880794702,1.452554717044059
0.7350993377483444,1.430823621921491
0.7549668874172186,1.4099961429669663
0.7748344370860927,1.3901962366721823
0.7947019867549668,1.3715476041494081
0.8145695364238411,1.3541723645906918
0.8344370860927152,1.3381895451520642
0.8543046357615894,1.3237134070695697
0.8741721854304636,1.3108516421856375
0.8940397350993378,1.2997034893364774
0.9139072847682119,1.2903578347646394
0.9337748344370861,1.282891373054758
0.9536423841059603,1.2773669130687828
0.9735099337748344,1.273831915181821
0.9933774834437087,1.272317340534126
1.0132450331125828,1.2728368796583274
1.033112582781457,1.2753866074624893
1.0529801324503312,1.2799450860141626
1.0728476821192052,1.2864739086154398
1.0927152317880795,1.2949186514469113
1.1125827814569538,1.3052101756201702
1.1324503311258278,1.3172662051900583
1.1523178807947019,1.3309930969009622
1.1721854304635762,1.3462877153946267
1.1920529801324504,1.3630393324751295
1.2119205298013245,1.3811314792577192
