Frequency (Hz),Amplitude
0.0,10.773762283082178
0.019801980198019802,10.768520418885238
0.039603960396039604,10.752800207288292
0.0594059405940594,10.726617788280048
0.07920792079207921,10.690000051917547
0.09900990099009901,10.642984623622874
0.1188118811881188,10.58561984397078
0.13861386138613863,10.517964743353783
0.15841584158415842,10.440089012042929
0.1782178217821782,10.352072966311813
0.19801980198019803,10.254007511464312
0.21782178217821782,10.14599410280902
0.2376237623762376,10.028144705865692
0.25742574257425743,9.900581757382268
0.27722772277227725,9.763438129097059
0.297029702970297,9.61685709662316
0.31683168316831684,9.460992316379883
0.33663366336633666,9.296007814185272
0.3564356435643564,9.12207798999529
0.37623762376237624,8.9393876443871
0.39603960396039606,8.748132033812977
0.4158415841584158,8.548516963503484
0.43564356435643564,8.340758929318286
0.45544554455445546,8.125085323031689
0.4752475247524752,7.901734719778538
0.495049504950495,7.670957272073128
0.5148514851485149,7.433015242518491
0.5346534653465347,7.188183717869683
0.5544554455445545,6.936751561707521
0.5742574257425742,6.679022683406832
0.594059405940594,6.415317730030714
0.613861386138614,6.145976349342906
0.6336633663366337,5.871360232638286
0.6534653465346534,5.59185723550178
0.6732673267326733,5.3078870088341095
0.6930693069306931,5.019908777417335
0.7128712871287128,4.728432221812675
0.7326732673267327,4.434032923830369
0.7524752475247525,4.137374650466804
0.7722772277227723,3.8392420932079796
0.7920792079207921,3.540589933511522
0.8118811881188118,3.2426179565314794
0.8316831683168316,2.9468885942061025
0.8514851485148516,2.6555147880317738
0.8712871287128713,2.3714653873348532
0.891089108910891,2.0990645295982286
0.9108910891089109,1.8447909112424248
0.9306930693069307,1.6184463977478276
0.9504950495049505,1.4344093867707353
0.9702970297029703,1.3114783040351479
0.99009900990099,1.2680917698382237
1.00990099009901,1.3123404876332772
1.0297029702970297,1.4359976472761615
1.0495049504950495,1.6205842267842303
1.0693069306930694,1.8473348644983412
1.0891089108910892,2.101920113150688
1.108910891089109,2.374576925777162
1.1287128712871286,2.658852351558033
1.1485148514851484,2.950438366621986
1.1683168316831685,3.2463760817369787
1.188118811881188,3.5445587332468476
1.2079207920792079,3.8434277404469577
1.227722772277228,4.141785712710725
1.2475247524752475,4.438679427755327
1.2673267326732673,4.73332503522822
1.2871287128712872,5.025059188380104
1.3069306930693068,5.313306430059905
1.3267326732673268,5.597556990266146
1.3465346534653466,5.877351394902321
1.3663366336633662,6.152269620789148
1.3861386138613863,6.421923342795275
1.405940594059406,6.685950321110126
1.4257425742574257,6.944010293819821
1.4455445544554455,7.19578194402764
1.4653465346534653,7.44096064445235
1.4851485148514851,7.679256771504909
1.504950495049505,7.910394441128637
1.5247524752475248,8.134110560100616
1.5445544554455446,8.350154115341025
1.5643564356435644,8.558285644136431
1.5841584158415842,8.758276842730293
1.6039603960396038,8.949910281246858
1.6237623762376237,9.13297920059678
1.6435643564356437,9.307287372683202
1.6633663366336633,9.47264900945371
1.683168316831683,9.628888709523626
1.7029702970297032,9.775841433509072
1.7227722772277227,9.913352501055995
1.7425742574257426,10.041277603976457
1.7623762376237624,10.159482831012552
1.782178217821782,10.267844700617912
1.801980198019802,10.36625019883362
1.8217821782178218,10.454596819883045
1.8415841584158414,10.532792607549567
1.8613861386138615,10.600756195757743
1.881188118811881,10.658416847070457
1.900990099009901,10.705714488055381
1.920792079207921,10.742599740676871
1.9405940594059405,10.769033949041127
1.9603960396039604,10.784989200970777
1.98019801980198,10.790448344016333
2.0,10.785404995629914
2.01980198019802,10.769863547336008
2.0396039603960396,10.743839162838361
2.0594059405940595,10.707357770104169
2.0792079207920793,10.66045604757113
2.099009900990099,10.603181404730586
2.118811881188119,10.535591957457923
2.1386138613861387,10.457756498589681
2.1584158415841586,10.3697544643938
2.1782178217821784,10.271675897747723
2.1980198019801978,10.163621409038228
2.217821782178218,10.045702136032727
2.237623762376238,9.918039704258481
2.257425742574257,9.780766189774493
2.2772277227722775,9.634024086651898
2.297029702970297,9.477966282014393
2.3168316831683167,9.312756042163056
2.336633663366337,9.138567014161108
2.3564356435643563,8.955583248340387
2.376237623762376,8.763999248587844
2.3960396039603964,8.564020059080564
2.4158415841584158,8.35586139850402
2.4356435643564356,8.139749855907274
2.455445544554456,7.9159231664968015
2.4752475247524752,7.684630591239066
2.495049504950495,7.446133431690115
2.514851485148515,7.200705721808768
2.5346534653465347,6.948635152825938
2.5544554455445545,6.6902243072976875
2.5742574257425743,6.425792306915196
2.594059405940594,6.155677019526613
2.6138613861386135,5.880238030412974
2.633663366336634,5.599860671027922
2.6534653465346536,5.314961530974759
2.673267326732673,5.025996081746049
2.6930693069306932,4.733469356536154
2.712871287128713,4.437951131789016
2.7326732673267324,4.140097868211807
2.7524752475247527,3.8406850115926394
2.7722772277227725,3.540655518911898
2.792079207920792,3.2411943681119597
2.811881188118812,2.9438455924575897
2.8316831683168315,2.6507002279187106
2.8514851485148514,2.36470377650411
2.8712871287128716,2.090163257588804
2.891089108910891,1.8335685310083725
2.910891089108911,1.6048151959727817
2.9306930693069306,1.418563988950903
2.9504950495049505,1.2941929829596157
2.9702970297029703,1.250864931125332
2.99009900990099,1.2969222508075757
3.00990099009901,1.4235769528965097
3.0297029702970297,1.611540258800652
3.0495049504950495,1.8415468719033499
3.0693069306930694,2.099095672455456
3.089108910891089,2.3744150833058764
3.108910891089109,2.661096389370661
3.128712871287129,2.95488287998714
3.148514851485148,3.252859943849954
3.1683168316831685,3.552955616145998
3.1881188118811883,3.853637714697963
3.2079207920792077,4.153728615589754
3.227722772277228,4.45228983987551
3.2475247524752473,4.748548525526229
